接触線番号,固定部品,移動部品,組付け方向,ASPa_X,ASPa_Y,ASPa_Z,OFFSETa_X,OFFSETa_Y,OFFSETa_Z,APPa_X,APPa_Y,APPa_Z,OK,時間値
15,,,,,,,,,,,,,,
1,1,2,Z-,0,0,46.17,0,0,43.45,0,0,33.45,0,1.3
2,1,6,Z-,0,0,46.17,0,0,17.22,0,0,11.57,1,1.2
3,2,3,Z-,0,0,43.45,-0.19,1.12,39.67,-0.19,1.12,38.45,1,1.1
4,2,6,Z-,0,0,43.45,0,0,17.22,0,0,11.08,1,5.1
5,3,6,Z-,-0.19,1.12,39.67,0,0,17.22,0,0,2.79,1,1
6,4,5,Z-,0,0,18.17,0,0,5.05,0,0,0.05,1,1
7,4,6,Z-,0,0,18.17,0,0,17.22,0,0,-20.03,1,1
8,5,6,Z-,0,0,5.05,0,0,17.22,0,0,-39.13,1,1
9,5,10,Z-,0,0,5.05,0,0,-17.1,0,0,-24.1,1,1
10,6,7,Z-,0,0,17.22,0,0,-13,0,0,-27.76,1,1
11,7,8,Z-,0,0,-13,0,0,-19.48,0,0,-27.48,1,1
12,7,9,Z-,0,0,-13,0,0,-22.3,0,0,-27.3,1,1
13,8,9,Z-,0,0,-19.48,0,0,-22.3,0,0,-32.3,0,1
14,8,10,Z-,0,0,-19.48,0,0,-17.1,0,0,-38.1,1,1
15,9,10,Z-,0,0,-22.3,0,0,-17.1,0,0,-40.7,1,1
